"ID"	"AIOne"	"AITwo"	"StartPlayerIndex"	"AIOneWin"
"195"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"196"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"197"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"198"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"199"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"200"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"201"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"202"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"203"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"204"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"205"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"206"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"207"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"208"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"209"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"210"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"211"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"212"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"213"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"214"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"215"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"216"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"217"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"218"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"219"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"220"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"221"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"222"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"223"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"224"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"225"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"226"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"227"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"228"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"229"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"230"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"231"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"232"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"233"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"234"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"235"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"236"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"237"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"238"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"239"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"240"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"241"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"242"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"243"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"244"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"245"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"246"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"247"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"248"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"249"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"250"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"251"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"252"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"253"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"254"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"255"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"256"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"257"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"258"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"259"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"260"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"261"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"262"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"263"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"264"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"265"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"266"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"267"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"268"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"269"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"270"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"271"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"272"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"273"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"274"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"275"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"276"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"277"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"278"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"279"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"280"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"281"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"282"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"283"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"284"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"285"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"286"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"287"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"288"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"289"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"290"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"291"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"292"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"293"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"294"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"295"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"296"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"297"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"298"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"299"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"300"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"301"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"302"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"303"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"304"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"305"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"306"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"307"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"308"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"309"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"310"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"311"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"312"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"313"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"314"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"315"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"316"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"317"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
